"date","exp_condition","indivOrGroup","info_share_cost","confirmationID","amazonID","latency","totalEarning","bonus_for_waiting","completionFee","totalPayment","age","sex","country","q1","q2","q3","q4"
"20211119_0835","binary","1","0","gLG7CcOZPDMRvlftAAAI","INHOUSETEST3","-1","0.08","0.02","0","0.1","","","NA","-1","-1","-1",""
"20211119_0835","binary","1","0","4I0Xpee4JEWID_sCAAAH","INHOUSETEST3","-1","0.10","0.01","0","0.1","","","NA","-1","-1","-1",""
"20211119_0835","binary","0","200","LjiVO8WG80OZpGq4AAAJ","INHOUSETEST3","-1","0.06","0.01","0","0.1","","","NA","-1","-1","-1",""
