date,time,amazonID,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-16,15:6:31,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,3,0,1,choice,risky,,87,,200,289,27514,0
2021-11-16,15:6:32,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,3,0,1,info-sharing,,2,87,0,200,87,29069,0
2021-11-16,15:6:34,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,4,0,1,choice,risky,,86,,200,244,31166,0
2021-11-16,15:6:36,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,4,0,1,info-sharing,,2,86,0,200,86,32685,0
2021-11-16,15:6:37,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,4,0,1,choice,risky,,84,,200,373,34074,0
2021-11-16,15:6:39,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,4,0,1,info-sharing,,2,84,0,200,84,35427,0
2021-11-16,15:6:40,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,5,0,1,choice,risky,,185,,200,558,36958,0
2021-11-16,15:6:42,INHOUSETEST3,1,2,TwgxbFr_session_1,yaYvfsaf-IrdG79zAAAC,1,5,0,1,info-sharing,,2,185,0,200,NaN,38525,0
2021-11-16,15:6:43,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,5,0,1,choice,risky,,187,,200,431,39955,0
2021-11-16,15:6:45,INHOUSETEST3,1,2,TwgxbFr_session_1,ifbGBeb6RLgnicuKAAAD,2,5,0,1,info-sharing,,2,187,0,200,NaN,41648,0
2021-11-16,15:10:32,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,1,0,2,choice,sure,,116,,20,116,7295,0
2021-11-16,15:10:33,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,1,0,2,info-sharing,,2,116,1,20,96,8907,0
2021-11-16,15:10:35,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,1,0,2,choice,risky,,252,,20,252,10754,0
2021-11-16,15:10:37,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,1,0,2,info-sharing,,1,252,1,20,232,12029,0
2021-11-16,15:10:38,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,2,0,2,choice,sure,,117,,20,349,13321,0
2021-11-16,15:10:40,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,2,0,2,info-sharing,,2,117,1,20,97,15183,0
2021-11-16,15:10:40,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,2,0,2,choice,risky,,87,,20,183,15942,0
2021-11-16,15:10:42,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,2,0,2,info-sharing,,1,87,0,20,87,17480,0
2021-11-16,15:10:43,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,3,0,2,choice,risky,,252,,20,435,18325,0
2021-11-16,15:10:44,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,3,0,2,info-sharing,,1,252,1,20,232,19496,0
2021-11-16,15:10:46,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,3,0,2,choice,risky,,87,,20,416,21154,0
2021-11-16,15:10:47,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,3,0,2,info-sharing,,1,87,1,20,67,22241,0
2021-11-16,15:10:48,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,4,0,2,choice,risky,,254,,20,650,23264,0
2021-11-16,15:10:49,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,4,0,2,info-sharing,,1,254,1,20,234,24613,0
2021-11-16,15:10:50,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,4,0,2,choice,risky,,86,,20,501,25679,0
2021-11-16,15:10:52,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,4,0,2,info-sharing,,1,86,0,20,86,27401,0
2021-11-16,15:10:53,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,5,0,2,choice,risky,,89,,20,590,28183,0
2021-11-16,15:10:54,INHOUSETEST3,1,2,oTsvqwj_session_2,DGCyspmXaN3Qol7MAAAE,1,5,0,2,info-sharing,,1,89,0,20,NaN,29861,0
2021-11-16,15:10:56,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,5,0,2,choice,risky,,88,,20,718,31961,0
2021-11-16,15:10:58,INHOUSETEST3,1,2,oTsvqwj_session_2,D4FKFE_3tPuqIdhOAAAF,2,5,0,2,info-sharing,,1,88,0,20,NaN,33399,0
2021-11-16,15:20:18,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,1,0,1,choice,risky,,86,,0,86,20978,0
2021-11-16,15:20:20,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,1,0,1,choice,miss,,0,,0,0,23075,0
2021-11-16,15:20:21,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,1,0,1,info-sharing,,-1,0,0,0,NaN,24269,0
2021-11-16,15:20:22,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,1,0,1,info-sharing,,2,86,0,0,86,25242,0
2021-11-16,15:20:28,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,2,0,1,choice,risky,,87,,0,87,31457,0
2021-11-16,15:20:30,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,2,0,1,info-sharing,,2,87,1,0,87,33321,0
2021-11-16,15:20:34,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,2,0,1,choice,sure,,117,,0,203,36929,0
2021-11-16,15:20:35,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,2,0,1,info-sharing,,1,117,0,0,117,38403,0
2021-11-16,15:20:36,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,3,0,1,choice,risky,,186,,0,389,39450,0
2021-11-16,15:20:38,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,3,0,1,info-sharing,,2,186,1,0,186,41009,0
2021-11-16,15:20:39,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,3,0,1,choice,risky,,188,,0,275,42604,0
2021-11-16,15:20:40,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,3,0,1,info-sharing,,2,188,0,0,188,43644,0
2021-11-16,15:20:42,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,4,0,1,choice,risky,,86,,0,361,44697,0
2021-11-16,15:20:43,INHOUSETEST3,1,2,wnkrTCT_session_3,vTNtLK28MaJEWHfOAAAG,1,4,0,1,info-sharing,,2,86,1,0,86,45745,0
2021-11-16,15:20:44,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,4,0,1,choice,risky,,86,,0,475,46878,0
2021-11-16,15:20:47,INHOUSETEST3,1,2,wnkrTCT_session_3,egTonydSKRYn73LKAAAH,2,4,0,1,info-sharing,,2,86,0,0,86,50244,0
